,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
0,AB de Villiers,80,77,17,2592,42.34,1629,156.15,1,25,195,148,6
1,Aaron Finch,53,51,4,1180,24.1,881,136.74,0,9,114,49,5
2,Abdul Samad,25,20,4,226,12.18,159,118.49,0,0,12,14,3
3,Abhijeet Tomar,1,1,0,4,4.0,8,50.0,0,0,1,0,1
4,Abhinav Manohar,8,7,1,108,18.0,75,144.0,0,0,14,3,1
5,Abhishek Sharma,36,34,6,667,25.69,493,136.29,0,2,64,25,5
6,Adam Milne,8,6,2,23,5.75,29,76.22,0,0,0,1,2
7,Adam Zampa,11,2,0,5,2.5,8,35.71,0,0,1,0,2
8,Aditya Tare,6,5,0,26,5.0,38,65.8,0,0,4,0,2
9,Aiden Markram,20,18,5,527,38.42,393,130.86,0,3,37,23,2
10,Ajinkya Rahane,77,73,6,1879,24.49,1543,115.79,1,11,200,38,7
11,Akila Dananjaya,1,1,1,4,0.0,5,80.0,0,0,0,0,1
12,Akshdeep Nath,14,10,0,90,6.96,98,62.58,0,0,7,2,4
13,Albie Morkel,2,1,0,16,16.0,9,177.77,0,0,0,2,1
14,Alex Carey,3,3,1,32,16.0,29,110.34,0,0,0,1,1
15,Alex Hales,6,6,0,148,24.66,118,125.42,0,0,13,6,1
16,Alzarri Joseph,12,5,4,20,2.5,20,93.4,0,0,2,0,2
17,Aman Khan,1,1,0,5,5.0,3,166.66,0,0,1,0,1
18,Ambati Rayudu,92,85,14,2199,29.77,1737,125.77,1,11,179,100,7
19,Amit Mishra,49,13,8,75,15.38,92,65.08,0,0,4,2,4
20,Andre Russell,76,65,13,1649,31.43,927,170.99,0,7,99,153,6
21,Andrew Tye,27,13,4,91,9.46,76,90.22,0,0,6,5,4
22,Angelo Mathews,3,2,0,32,16.0,27,118.51,0,0,2,1,1
23,Aniket Choudhary,5,3,2,25,25.0,20,125.0,0,0,1,1,1
24,Ankit Bawne,1,1,1,12,0.0,12,100.0,0,0,1,0,1
25,Ankit Rajpoot,19,6,1,24,5.55,35,69.42,0,0,2,1,3
26,Ankit Sharma,4,2,1,28,12.5,18,133.33,0,0,2,1,2
27,Ankit Soni,7,3,1,7,3.5,9,77.77,0,0,0,1,1
28,Anmolpreet Singh,3,3,0,29,11.25,27,107.14,0,0,3,1,2
29,Anrich Nortje,22,6,5,8,3.5,12,66.66,0,0,0,0,2
30,Anuj Rawat,10,9,0,129,8.06,119,54.66,0,1,10,7,2
31,Anureet Singh,4,2,1,18,7.5,16,100.0,0,0,2,0,2
32,Arshdeep Singh,34,9,5,23,2.33,35,46.36,0,0,3,0,3
33,Ashish Nehra,8,2,2,1,0.0,1,100.0,0,0,0,0,1
34,Ashish Reddy,4,3,1,47,23.5,29,162.06,0,0,2,4,1
35,Ashok Dinda,3,1,0,7,7.0,7,100.0,0,0,1,0,1
36,Ashton Turner,4,4,1,3,1.0,10,30.0,0,0,0,0,1
37,Avesh Khan,30,6,5,31,7.33,19,156.41,0,0,2,3,3
38,Axar Patel,91,68,24,867,20.57,647,128.78,0,0,48,45,7
39,Ayush Badoni,13,11,3,161,20.13,130,123.84,0,1,11,7,1
40,B Indrajith,3,3,0,21,7.0,30,70.0,0,0,2,0,1
41,Barinder Sran,22,9,8,10,1.0,14,80.95,0,0,0,0,3
42,Basil Thampi,19,8,7,32,1.0,35,83.33,0,0,1,1,3
43,Ben Cutting,20,16,6,230,22.75,135,164.68,0,0,15,18,4
44,Ben Laughlin,7,2,1,1,1.0,4,25.0,0,0,0,0,1
45,Ben Stokes,43,42,6,920,21.83,684,106.29,2,2,79,32,5
46,Bhanuka Rajapaksa,9,9,0,206,22.89,129,159.68,0,0,16,13,1
47,Bhuvneshwar Kumar,87,33,16,130,9.09,124,87.04,0,0,14,1,7
48,Billy Stanlake,4,1,1,5,0.0,2,250.0,0,0,1,0,1
49,Bipul Sharma,14,7,4,82,28.25,49,166.58,0,0,3,6,2
50,Brendon McCullum,33,33,0,800,24.09,567,142.14,0,3,83,40,3
51,Carlos Brathwaite,16,14,1,181,12.58,111,141.17,0,0,10,16,4
52,Chetan Sakariya,14,6,1,16,3.2,25,64.0,0,0,2,0,1
53,Chris Gayle,60,60,4,1766,31.54,1248,139.35,1,13,143,127,6
54,Chris Jordan,27,11,3,75,7.93,65,91.68,0,0,3,3,5
55,Chris Lynn,39,39,3,1265,37.41,887,140.9,0,10,126,63,5
56,Chris Morris,54,38,14,528,28.17,336,150.79,0,2,38,30,6
57,Chris Woakes,21,12,6,78,6.67,77,107.9,0,0,7,2,3
58,Colin Ingram,12,12,2,184,18.4,154,119.48,0,0,20,5,1
59,Colin Munro,13,12,0,177,14.53,141,124.55,0,0,19,8,3
60,Colin de Grandhomme,25,21,5,303,19.09,225,128.92,0,0,18,18,3
61,Corey Anderson,14,14,4,159,12.97,145,96.35,0,0,8,10,2
62,D'Arcy Short,7,7,0,115,16.42,99,116.16,0,0,11,5,1
63,Dale Steyn,4,2,1,2,0.5,4,50.0,0,0,0,0,2
64,Dan Christian,26,19,6,119,10.38,106,99.44,0,0,6,6,3
65,Daniel Sams,16,13,4,44,3.81,44,68.52,0,0,1,3,3
66,Darren Bravo,1,1,1,6,0.0,5,120.0,0,0,1,0,1
67,Daryl Mitchell,2,2,0,33,16.5,44,75.0,0,0,1,0,1
68,David Miller,57,54,19,1136,33.48,889,120.76,0,4,80,43,6
69,David Warner,79,79,13,3356,49.92,2368,138.33,2,32,327,113,6
70,David Wiese,1,1,1,5,0.0,4,125.0,0,0,0,0,1
71,David Willey,4,2,0,18,9.0,30,60.0,0,0,3,0,1
72,Dawid Malan,1,1,0,26,26.0,26,100.0,0,0,1,1,1
73,Deepak Chahar,61,12,5,79,8.23,57,128.37,0,0,2,6,5
74,Deepak Hooda,81,66,14,1085,31.13,841,126.71,0,6,71,45,7
75,Devdutt Padikkal,46,46,1,1260,28.42,1013,124.32,1,7,135,36,3
76,Devon Conway,7,7,1,252,42.0,173,145.66,0,3,22,12,1
77,Dewald Brevis,7,7,0,161,23.0,113,142.47,0,0,14,11,1
78,Dhawal Kulkarni,39,10,6,38,3.7,29,121.14,0,0,3,0,5
79,Dhruv Shorey,2,2,0,13,6.5,17,75.69,0,0,0,1,2
80,Dinesh Karthik,107,102,33,2169,33.52,1519,142.85,0,11,208,77,7
81,Dushmantha Chameera,12,8,4,43,10.75,28,153.57,0,0,3,3,1
82,Dwaine Pretorius,6,5,1,44,11.0,28,157.14,0,0,3,3,1
83,Dwayne Bravo,70,43,21,397,20.94,287,145.08,0,1,29,19,6
84,Dwayne Smith,24,24,2,563,25.58,377,149.9,0,5,67,24,2
85,Eklavya Dwivedi,4,2,0,24,12.0,14,171.42,0,0,2,2,1
86,Eoin Morgan,42,40,9,739,23.43,608,114.02,0,2,54,36,4
87,Evin Lewis,27,26,2,654,24.98,477,130.85,0,4,62,36,4
88,Fabian Allen,5,4,2,14,7.0,19,82.14,0,0,1,0,2
89,Faf Du Plessis,16,16,1,468,31.2,367,127.52,0,3,49,13,1
90,Faf du Plessis,55,54,6,1854,32.79,1396,128.22,0,16,173,67,6
91,Farhaan Behardien,3,3,1,14,7.0,13,107.69,0,0,2,0,1
92,Fazalhaq Farooqi,3,1,1,2,0.0,8,25.0,0,0,0,0,1
93,Gautam Gambhir,37,36,6,1084,32.34,888,115.5,0,10,123,14,3
94,George Bailey,6,5,1,84,21.0,98,85.71,0,0,9,2,1
95,George Garton,5,3,2,2,2.0,4,50.0,0,0,0,0,1
96,Glenn Maxwell,78,74,13,1580,25.08,1063,145.57,0,9,135,79,6
97,Glenn Phillips,3,3,1,26,13.0,33,78.78,0,0,1,2,1
98,Gurkeerat Mann Singh,18,14,6,282,18.42,236,120.05,0,2,30,5,3
99,Hanuma Vihari,2,2,0,4,2.0,8,50.0,0,0,0,0,1
100,Harbhajan Singh,52,20,11,142,9.86,143,84.68,0,0,14,4,5
101,Hardik Pandya,98,92,32,1851,29.86,1268,139.21,0,7,137,102,7
102,Hardus Viljoen,6,3,1,3,1.5,7,42.85,0,0,0,0,1
103,Harpreet Brar,14,9,6,106,2.44,95,121.67,0,0,6,5,3
104,Harry Gurney,8,1,1,1,0.0,5,20.0,0,0,0,0,1
105,Harshal Patel,42,22,9,183,18.77,144,101.56,0,0,13,10,5
106,Harshit Rana,2,2,1,2,2.0,2,100.0,0,0,0,0,1
107,Hashim Amla,16,16,3,577,43.08,407,138.88,2,3,60,21,2
108,Heinrich Klaasen,7,6,1,66,11.75,57,105.64,0,0,5,1,2
109,Hrithik Shokeen,5,3,1,43,21.5,48,89.58,0,0,5,0,1
110,Imran Tahir,25,4,3,20,1.25,21,75.36,0,0,3,0,4
111,Iqbal Abdulla,10,3,3,42,0.0,34,104.22,0,0,4,1,2
112,Irfan Pathan,5,4,0,13,2.83,16,75.63,0,0,0,0,2
113,Ish Sodhi,8,2,0,7,3.5,17,35.6,0,0,0,0,2
114,Ishan Kishan,75,70,6,1870,27.44,1413,126.73,0,12,166,85,7
115,Ishank Jaggi,2,2,1,33,33.0,39,84.61,0,0,3,0,1
116,Ishant Sharma,19,6,4,18,2.0,15,200.0,0,0,2,1,2
117,Isuru Udana,10,4,1,15,5.0,11,136.36,0,0,1,1,1
118,JP Duminy,16,12,6,227,37.1,196,106.22,0,0,16,4,2
119,Jagadeesan Narayan,2,2,1,40,40.0,37,108.1,0,0,3,1,1
120,Jagadeesha Suchith,8,4,1,22,2.33,29,99.44,0,0,2,1,3
121,James Faulkner,15,11,4,131,19.58,116,112.62,0,0,11,0,2
122,James Neesham,2,2,0,31,15.5,27,114.81,0,0,3,0,1
123,James Pattinson,10,2,1,15,15.0,13,115.38,0,0,2,0,1
124,Jason Holder,31,23,5,231,15.58,188,122.54,0,0,11,16,4
125,Jason Roy,13,13,2,329,29.83,255,133.04,0,2,39,9,3
126,Jasprit Bumrah,89,18,13,55,7.0,55,92.95,0,0,4,1,6
127,Javon Searles,4,2,1,8,8.0,6,133.33,0,0,0,1,1
128,Jayant Yadav,10,5,1,40,10.0,36,95.38,0,0,2,1,2
129,Jaydev Unadkat,56,22,11,161,10.4,125,95.39,0,0,13,6,6
130,Jhye Richardson,3,2,0,15,7.5,24,62.5,0,0,2,0,1
131,Jimmy Neesham,8,5,1,19,4.75,20,52.78,0,0,0,1,2
132,Jitesh Sharma,12,10,2,234,29.25,143,163.63,0,0,22,12,1
133,Joe Denly,1,1,0,0,0.0,1,0.0,0,0,0,0,1
134,Jofra Archer,35,23,10,195,18.44,124,139.43,0,0,11,14,3
135,Jonny Bairstow,39,39,3,1291,37.83,905,142.59,1,9,133,55,4
136,Jos Buttler,82,81,10,2831,38.67,1891,149.39,5,15,277,135,7
137,Josh Hazlewood,12,5,5,18,0.0,26,69.23,0,0,1,0,1
138,Josh Philippe,5,5,1,78,19.5,77,101.29,0,0,9,1,1
139,K L Rahul,15,15,3,616,51.33,455,135.38,2,4,45,30,1
140,K.S Bharat,8,7,2,191,38.2,156,122.43,0,1,10,8,1
141,KC Cariappa,10,5,2,24,4.67,21,148.92,0,0,0,2,3
142,KL Rahul,69,67,13,2945,54.27,2094,141.68,2,27,258,126,5
143,Kagiso Rabada,63,26,10,186,11.92,177,124.36,0,0,16,6,5
144,Kamlesh Nagarkoti,11,7,3,22,3.66,33,35.48,0,0,1,0,2
145,Kane Richardson,4,1,1,1,0.0,1,100.0,0,0,0,0,1
146,Kane Williamson,74,73,16,2070,35.34,1640,122.28,0,18,181,63,7
147,Karan Sharma,1,1,0,4,4.0,4,100.0,0,0,1,0,1
148,Karn Sharma,14,9,3,85,4.08,71,119.76,0,0,8,3,2
149,Kartik Tyagi,16,7,3,13,3.17,16,77.77,0,0,1,0,3
150,Karun Nair,49,43,3,976,17.23,782,111.2,0,6,105,25,6
151,Kedar Jadhav,46,39,11,612,12.44,527,113.24,0,2,56,19,6
152,Keemo Paul,8,6,1,18,3.6,24,75.0,0,0,1,1,1
153,Kevin Pietersen,4,4,2,73,36.5,61,119.67,0,0,4,3,1
154,Khaleel Ahmed,23,3,0,1,0.33,5,16.67,0,0,0,0,3
155,Kieron Pollard,96,86,27,1661,29.71,1137,145.76,0,8,98,114,7
156,Krishnappa Gowtham,24,19,6,186,20.67,110,149.05,0,0,13,12,3
157,Krunal Pandya,98,85,26,1326,23.78,970,136.43,0,1,121,50,7
158,Kuldeep Yadav,56,18,11,105,17.8,127,89.02,0,0,8,2,5
159,Kuldip Yadav,1,1,1,0,0.0,4,0.0,0,0,0,0,1
160,Kumar Kartikeya Singh,4,1,0,3,3.0,5,60.0,0,0,0,0,1
161,Kyle Abbott,5,3,2,13,13.0,8,162.5,0,0,0,1,1
162,Kyle Jamieson,9,7,3,65,16.25,55,118.18,0,0,5,3,1
163,Lalit Yadav,19,13,4,229,28.5,219,101.71,0,0,18,7,2
164,Lasith Malinga,12,2,2,7,0.0,3,233.33,0,0,0,1,1
165,Lendl Simmons,8,8,0,145,13.78,120,111.16,0,2,10,9,2
166,Liam Livingstone,23,23,3,550,22.83,329,144.14,0,4,38,40,3
167,Liam Plunkett,7,2,1,1,1.0,3,33.33,0,0,0,0,1
168,Lockie Ferguson,30,9,7,67,0.62,45,134.22,0,0,6,2,4
169,MS Dhoni,105,90,39,1991,42.91,1538,126.1,0,9,128,103,7
170,Maheesh Theekshana,9,2,1,7,7.0,7,100.0,0,0,0,1,1
171,Mahipal Lomror,18,15,2,267,19.24,208,150.15,0,0,15,13,5
172,Manan Vohra,28,25,0,506,18.34,387,132.87,0,2,50,20,5
173,Mandeep Singh,49,46,12,768,21.32,629,113.98,0,2,63,23,6
174,Manish Pandey,83,77,17,2077,35.05,1649,124.52,0,16,166,62,7
175,Manoj Tiwary,20,17,4,371,24.03,280,122.04,0,2,35,12,2
176,Marco Jansen,10,5,2,9,4.5,10,64.28,0,0,0,1,2
177,Marcus Stoinis,67,59,18,1070,26.65,779,127.26,0,4,83,48,7
178,Mark Wood,1,1,0,1,1.0,3,33.33,0,0,0,0,1
179,Marlon Samuels,5,4,0,29,7.25,31,93.54,0,0,1,2,1
180,Martin Guptill,13,13,1,270,22.67,196,135.49,0,1,24,15,3
181,Matthew Wade,10,10,0,157,15.7,138,113.76,0,0,23,2,1
182,Mayank Agarwal,66,65,2,1566,21.45,1125,127.6,1,9,150,59,7
183,Mayank Markande,17,8,5,27,8.25,29,103.75,0,0,3,0,2
184,Mitchell Johnson,14,8,6,41,0.83,42,99.6,0,0,3,1,3
185,Mitchell Marsh,12,10,0,258,12.79,201,65.48,0,2,19,14,3
186,Mitchell McClenaghan,44,21,9,72,6.12,64,108.31,0,0,5,5,4
187,Mitchell Santner,10,6,3,54,21.5,50,110.3,0,0,3,3,2
188,Moeen Ali,44,42,3,910,20.13,632,136.59,0,5,76,53,5
189,Mohammad Nabi,17,14,2,180,8.3,119,135.09,0,0,16,9,5
190,Mohammad Shami,62,18,10,61,5.33,56,84.96,0,0,5,2,6
191,Mohammed Siraj,59,20,13,96,13.7,109,86.29,0,0,10,2,5
192,Mohit Sharma,38,18,7,93,6.62,91,75.5,0,0,7,2,4
193,Mohsin Khan,9,3,2,23,23.0,16,143.75,0,0,2,1,1
194,Moises Henriques,34,30,10,490,25.61,393,116.17,0,3,43,11,3
195,Morne Morkel,10,2,2,1,0.0,1,100.0,0,0,0,0,1
196,Mujeeb Ur Rahman,19,7,4,12,2.75,15,69.04,0,0,2,0,4
197,Mukesh Choudhary,13,2,1,6,6.0,6,100.0,0,0,1,0,1
198,Munaf Patel,2,1,0,0,0.0,1,0.0,0,0,0,0,1
199,Murali Vijay,20,20,1,561,22.38,478,105.94,0,5,60,12,4
200,Murugan Ashwin,42,13,4,35,3.25,50,59.7,0,0,2,1,6
201,Mustafizur Rahman,29,8,7,12,0.33,22,50.16,0,0,0,1,3
202,Naman Ojha,32,19,4,216,11.45,207,81.69,0,0,9,8,3
203,Narayan Jagadeesan,5,2,0,33,16.5,29,113.79,0,0,4,0,1
204,Nathan Coulter-Nile,25,10,4,53,6.33,48,95.52,0,0,5,2,5
205,Nathan Ellis,3,2,1,18,18.0,16,112.5,0,0,0,1,1
206,Navdeep Saini,30,7,3,33,8.25,37,75.0,0,0,3,0,4
207,Nicholas Pooran,47,44,9,912,27.32,603,145.72,0,4,52,65,4
208,Nikhil Naik,4,4,0,31,6.5,50,50.42,0,0,2,0,3
209,Nitish Rana,91,85,8,2181,29.3,1625,135.22,0,15,190,111,7
210,Obed McCoy,7,1,0,8,8.0,5,160.0,0,0,0,1,1
211,Odean Smith,6,6,3,51,17.0,44,115.9,0,0,1,5,1
212,Parthiv Patel,46,46,1,1098,24.9,822,132.7,0,6,140,26,4
213,Parveez Rasool,4,1,0,10,10.0,9,111.11,0,0,1,0,1
214,Pat Cummins,38,30,11,379,20.75,247,175.48,0,3,24,26,4
215,Pawan Negi,29,22,6,213,12.56,187,90.33,0,0,13,10,4
216,Peter Handscomb,2,1,0,6,6.0,12,50.0,0,0,0,0,1
217,Piyush Chawla,47,17,5,98,6.35,105,66.02,0,0,9,3,5
218,Prabhsimran Singh,5,5,0,50,11.0,55,92.24,0,0,4,2,3
219,Pradeep Sahu,5,2,1,19,19.0,13,146.15,0,0,1,1,1
220,Pradeep Sangwan,9,5,1,4,1.0,13,30.0,0,0,0,0,3
221,Prashant Chopra,1,1,0,8,8.0,6,133.33,0,0,2,0,1
222,Prasidh Krishna,51,10,7,9,1.2,24,24.0,0,0,0,0,5
223,Praveen Kumar,22,9,4,36,7.5,36,96.29,0,0,4,0,2
224,Pravin Dubey,3,1,1,7,0.0,13,53.84,0,0,0,0,1
225,Pravin Tambe,7,1,1,7,0.0,19,36.84,0,0,1,0,1
226,Prayas Ray Barman,1,1,0,19,19.0,24,79.16,0,0,2,0,1
227,Prerak Mankad,1,1,1,4,0.0,1,400.0,0,0,1,0,1
228,Prithvi Raj Yarra,2,1,1,0,0.0,1,0.0,0,0,0,0,1
229,Prithvi Shaw,63,63,0,1588,25.41,1077,147.09,0,12,192,55,5
230,Priyam Garg,21,17,1,251,17.39,218,118.83,0,1,15,9,3
231,Quinton De Kock,15,15,1,508,36.29,341,148.97,1,3,47,23,1
232,Quinton de Kock,64,64,5,1975,32.62,1501,129.91,1,14,192,75,5
233,Rahul Chahar,55,19,6,108,4.33,100,103.13,0,0,10,4,5
234,Rahul Tewatia,60,45,17,722,25.11,553,133.26,0,1,57,34,6
235,Rahul Tripathi,76,74,10,1798,27.57,1277,137.8,0,10,176,68,6
236,Rajagopal Sathish,4,3,0,24,8.0,24,100.0,0,0,1,1,1
237,Rajangad Bawa,2,2,0,11,5.5,14,78.57,0,0,1,0,1
238,Rajat Bhatia,13,8,6,50,25.0,37,132.06,0,0,1,3,2
239,Rajat Patidar,12,11,1,404,36.62,280,133.63,1,2,30,21,2
240,Ramandeep Singh,5,4,2,45,22.5,40,112.5,0,0,3,1,1
241,Rashid Khan,92,43,15,313,11.0,206,150.68,0,0,20,22,6
242,Rasikh Salam,3,2,1,12,3.5,10,120.83,0,0,1,0,2
243,Rassie van der Dussen,3,3,1,22,11.0,24,91.66,0,0,2,0,1
244,Ravi Bishnoi,23,4,2,8,4.0,16,41.66,0,0,1,0,2
245,Ravichandran Ashwin,87,44,16,457,15.99,348,126.1,0,1,32,20,6
246,Ravindra Jadeja,99,77,42,1119,36.46,842,131.94,0,2,84,41,7
247,Ricky Bhui,2,2,0,7,3.5,17,29.16,0,0,0,0,2
248,Rinku Singh,17,15,3,251,17.89,193,112.77,0,0,23,9,4
249,Ripal Patel,4,3,1,31,15.5,30,146.3,0,0,3,1,2
250,Rishabh Pant,98,97,15,2838,34.0,1918,146.63,1,15,260,129,7
251,Rishi Dhawan,8,6,4,51,9.25,46,162.92,0,0,4,3,2
252,Riyan Parag,47,37,6,522,18.13,418,122.33,0,2,40,22,4
253,Robin Uthappa,85,82,2,1956,25.05,1453,134.27,0,13,185,86,7
254,Rohit Sharma,99,98,8,2494,28.15,1953,127.39,0,16,245,93,7
255,Romario Shepherd,3,3,1,58,29.0,41,141.46,0,0,2,5,1
256,Rovman Powell,14,12,2,250,25.0,167,149.7,0,1,10,22,1
257,Ruturaj Gaikwad,36,36,4,1207,40.88,926,127.81,1,10,113,43,3
258,Sachin Baby,15,10,1,141,11.93,111,97.27,0,0,11,5,3
259,Sai Sudharsan,5,5,1,145,36.25,114,127.19,0,1,14,3,1
260,Sam Billings,30,27,1,503,16.53,388,106.22,0,3,40,20,5
261,Sam Curran,32,23,8,337,21.89,225,165.91,0,2,30,18,3
262,Samuel Badree,7,5,0,13,2.6,23,56.52,0,0,0,0,1
263,Sandeep Lamichhane,6,1,0,0,0.0,1,0.0,0,0,0,0,1
264,Sandeep Sharma,70,20,15,41,2.33,44,99.97,0,0,3,0,6
265,Sanju Samson,100,100,10,2777,31.07,1984,140.38,3,13,219,128,7
266,Sarfaraz Khan,33,25,7,421,22.5,315,118.8,0,1,47,11,6
267,Saurabh Tiwary,23,17,2,440,38.6,361,122.2,0,4,44,9,4
268,Sean Abbott,1,1,0,7,7.0,5,140.0,0,0,0,1,1
269,Shadab Jakati,6,1,1,1,0.0,2,50.0,0,0,0,0,1
270,Shahbaz Ahmed,29,19,4,279,11.93,235,110.77,0,0,18,11,3
271,Shahbaz Nadeem,25,9,4,16,1.53,31,40.94,0,0,1,0,5
272,Shahrukh Khan,19,18,4,270,19.28,222,121.27,0,0,13,19,2
273,Shakib Al Hasan,39,28,6,410,12.58,362,103.35,0,1,36,11,5
274,Shane Watson,67,65,5,1502,23.71,1130,125.56,2,7,139,81,5
275,Shardul Thakur,74,23,7,166,6.08,128,132.51,0,0,11,8,6
276,Shashank Singh,10,5,1,69,17.25,47,146.8,0,0,5,4,1
277,Shaun Marsh,15,14,1,423,32.4,328,127.36,0,3,49,9,2
278,Sheldon Cottrell,6,1,0,0,0.0,2,0.0,0,0,0,0,1
279,Sheldon Jackson,9,8,2,61,12.38,57,105.52,0,0,5,1,2
280,Sherfane Rutherford,10,9,2,106,15.55,104,100.59,0,0,3,8,2
281,Shikhar Dhawan,110,110,15,3663,38.56,2825,129.82,2,26,404,82,7
282,Shimron Hetmyer,46,44,17,831,30.14,546,148.31,0,3,55,52,4
283,Shivam Dube,35,33,5,688,22.35,516,129.86,0,3,46,38,4
284,Shivam Mavi,32,12,3,51,5.83,56,81.48,0,0,4,2,4
285,Shivil Kaushik,7,2,1,0,0.0,1,0.0,0,0,0,0,1
286,Shreevats Goswami,8,5,0,52,8.66,44,65.0,0,0,6,1,2
287,Shreyas Gopal,44,20,7,168,8.44,158,104.0,0,0,18,2,6
288,Shreyas Iyer,87,87,12,2337,29.64,1872,117.36,0,15,196,78,7
289,Shubman Gill,74,71,12,1900,32.63,1517,127.92,0,14,188,47,5
290,Siddarth Kaul,42,9,5,11,0.25,25,30.36,0,0,1,0,4
291,Siddhesh Lad,1,1,0,15,15.0,13,115.38,0,0,1,1,1
292,Simarjeet Singh,6,3,2,7,7.0,8,87.5,0,0,0,0,1
293,Simran Singh,1,1,0,14,14.0,11,127.27,0,0,2,0,1
294,Sreenath Aravind,10,8,4,32,8.0,40,80.0,0,0,2,0,1
295,Srikar Bharat,2,2,0,8,4.0,7,114.28,0,0,2,0,1
296,Steve Smith,57,53,9,1524,35.09,1210,127.03,1,9,140,35,5
297,Stuart Binny,37,23,7,255,17.18,194,138.0,0,0,18,13,4
298,Sunil Narine,93,72,9,985,13.5,589,147.72,0,4,110,61,7
299,Suresh Raina,73,72,10,1829,29.49,1397,130.25,0,14,185,53,5
300,Suryakumar Yadav,93,84,11,2323,31.23,1699,134.98,0,16,256,71,7
301,Suyash S Prabhudessai,5,5,0,67,13.4,59,113.55,0,0,7,2,1
302,Swapnil Singh,5,3,0,12,3.0,20,31.58,0,0,0,0,2
303,T Natarajan,16,3,3,3,0.0,5,60.0,0,0,0,0,1
304,Tabraiz Shamsi,1,1,1,2,0.0,4,50.0,0,0,0,0,1
305,Thisara Perera,12,10,3,150,21.42,93,161.29,0,0,7,11,1
306,Tilak Varma,14,14,3,397,36.09,303,131.02,0,2,29,16,1
307,Tim David,9,9,3,187,19.1,89,124.8,0,0,12,16,2
308,Tim Seifert,3,3,0,26,7.0,23,88.16,0,0,4,0,2
309,Tim Southee,37,16,5,103,7.75,94,113.49,0,0,6,4,6
310,Tom Banton,2,2,0,18,9.0,20,90.0,0,0,1,1,1
311,Tom Curran,13,10,5,127,37.22,107,113.18,0,1,10,3,3
312,Travis Head,10,10,3,205,28.6,148,137.4,0,1,12,8,2
313,Trent Boult,70,18,13,53,4.5,48,66.74,0,0,2,2,6
314,Tristan Stubbs,2,2,0,2,1.0,4,50.0,0,0,0,0,1
315,Tushar Deshpande,5,2,1,21,21.0,12,175.0,0,0,2,1,1
316,Tymal Mills,5,3,0,8,2.66,11,72.72,0,0,0,1,1
317,Umesh Yadav,62,26,14,102,6.0,96,86.95,0,0,7,6,6
318,Umran Malik,14,4,3,4,4.0,8,50.0,0,0,0,0,1
319,Unmukt Chand,1,1,0,0,0.0,4,0.0,0,0,0,0,1
320,Usman Khawaja,6,6,0,127,21.16,100,127.0,0,0,14,3,1
321,Vaibhav Arora,5,4,2,5,2.5,13,38.46,0,0,0,0,1
322,Varun Aaron,14,5,3,8,1.67,27,30.95,0,0,0,0,3
323,Varun Chakaravarthy,41,10,7,24,2.33,37,61.11,0,0,2,0,3
324,Venkatesh Iyer,22,22,2,552,28.83,457,118.08,0,5,54,21,2
325,Vijay Shankar,50,43,12,731,27.4,599,111.86,0,3,46,28,6
326,Vinay Kumar,5,3,2,19,6.5,15,154.16,0,0,1,1,2
327,Virat Kohli,100,100,13,3487,41.03,2618,130.23,5,25,302,108,7
328,Virat Singh,3,2,0,15,7.5,26,57.69,0,0,1,0,1
329,Vishnu Vinod,3,3,0,19,6.33,26,73.07,0,0,1,1,1
330,Wanindu Hasaranga,18,9,1,39,3.22,45,69.18,0,0,4,1,2
331,Washington Sundar,51,33,10,318,11.97,264,101.42,0,0,26,9,6
332,Wriddhiman Saha,66,62,6,1374,28.28,1106,127.17,0,8,150,28,7
333,Yashasvi Jaiswal,23,23,0,547,21.34,406,124.03,0,3,62,22,3
334,Yusuf Pathan,55,45,20,804,33.07,608,122.2,0,4,65,31,4
335,Yuvraj Singh,34,31,3,651,22.39,504,123.48,0,3,65,29,4
336,Yuzvendra Chahal,88,16,9,35,2.22,84,36.73,0,0,0,0,6
337,Zaheer Khan,23,5,2,10,3.5,26,38.46,0,0,1,0,2
