,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Seasons
0,Abdul Samad,12,3,7.0,96,1,96.0,13.71,42.0,0,0,1
1,Abhishek Sharma,19,14,22.0,176,7,27.5,8.67,19.0,0,0,3
2,Adam Milne,9,9,32.0,308,7,43.77,9.89,26.67,0,0,3
3,Adam Zampa,14,14,48.0,370,21,26.29,7.78,19.5,0,1,3
4,Aiden Markram,14,4,6.0,64,1,64.0,10.66,36.0,0,0,1
5,Akash Deep,5,5,18.5,205,5,41.0,10.88,22.6,0,0,1
6,Albie Morkel,2,2,5.0,66,2,33.0,13.2,15.0,0,0,1
7,Alzarri Joseph,12,12,38.0,351,13,26.1,9.41,17.19,0,1,2
8,Amit Mishra,56,56,186.0,1402,55,24.91,7.53,19.81,2,0,6
9,Andre Russell,76,67,169.1,1574,73,22.56,9.39,14.47,2,1,6
10,Andrew Tye,30,30,114.0,979,42,42.31,9.5,25.1,3,1,5
11,Aniket Choudhary,5,5,17.0,144,5,28.8,8.55,20.2,0,0,1
12,Ankit Rajpoot,27,27,84.0,779,23,45.97,9.25,28.05,0,1,5
13,Ankit Sharma,3,3,11.0,84,1,84.0,7.63,66.0,0,0,1
14,Ankit Soni,7,6,18.0,144,2,72.0,7.92,54.5,0,0,1
15,Anrich Nortje,30,30,113.2,916,43,20.99,8.09,15.56,0,0,3
16,Anukul Roy,3,3,9.0,66,2,33.0,6.68,27.0,0,0,2
17,Anureet Singh,3,3,4.0,42,1,42.0,10.5,24.0,0,0,1
18,Arshdeep Singh,37,37,126.0,1054,40,29.51,8.91,20.08,0,1,4
19,Ashish Nehra,14,14,47.0,396,17,23.36,8.48,16.6,0,0,2
20,Ashish Reddy,4,2,4.0,39,1,39.0,10.17,23.0,0,0,1
21,Ashok Dinda,12,12,40.0,350,12,70.0,9.74,38.32,0,0,2
22,Avesh Khan,36,36,131.4,1093,47,28.96,8.14,20.91,1,0,4
23,Axar Patel,91,90,313.0,2286,71,39.04,7.38,31.32,1,0,7
24,Ayush Badoni,13,2,2.0,11,2,5.5,5.5,6.0,0,0,1
25,Barinder Sran,20,20,71.0,642,18,43.38,9.37,27.1,0,0,2
26,Basil Thampi,22,22,74.0,736,22,34.44,10.42,19.94,0,0,4
27,Ben Cutting,20,16,42.0,398,9,62.5,10.06,38.1,0,0,4
28,Ben Laughlin,7,7,21.0,211,9,23.44,10.04,14.0,0,0,1
29,Ben Stokes,42,36,113.0,962,28,43.18,9.21,27.9,0,0,4
30,Bhuvneshwar Kumar,87,87,331.1,2491,92,33.0,7.46,26.24,1,1,7
31,Billy Stanlake,6,6,24.0,200,7,30.5,8.43,21.6,0,0,2
32,Bipul Sharma,14,13,30.0,250,6,41.66,8.26,30.33,0,0,2
33,Brad Hogg,5,5,16.0,142,4,35.5,8.87,24.0,0,0,1
34,Carlos Brathwaite,14,14,39.0,346,13,37.41,9.46,22.68,0,0,3
35,Chetan Sakariya,17,17,63.0,510,17,29.21,7.91,22.14,0,0,2
36,Chris Gayle,10,4,10.0,63,2,31.5,6.3,30.0,0,0,1
37,Chris Jordan,26,26,83.5,793,26,37.18,9.34,23.19,1,0,4
38,Chris Morris,54,54,194.0,1583,67,26.5,8.34,18.78,3,0,6
39,Chris Woakes,21,21,73.0,658,30,20.95,8.86,14.16,0,0,3
40,Colin de Grandhomme,21,16,31.0,264,6,49.12,8.52,34.5,0,0,2
41,Corey Anderson,14,11,27.0,301,6,50.16,11.56,27.49,0,0,2
42,D'Arcy Short,7,2,3.0,19,1,19.0,6.33,18.0,0,0,1
43,Dale Steyn,5,5,19.0,202,5,75.12,10.01,41.0,0,0,2
44,Dan Christian,26,26,68.0,554,19,30.36,8.43,21.52,0,0,3
45,Daniel Sams,13,13,48.0,409,14,33.73,7.65,27.69,1,0,2
46,Darshan Nalkande,2,2,5.1,59,2,29.5,11.41,15.5,0,0,1
47,David Willey,7,7,21.0,167,3,59.75,8.02,48.0,0,0,2
48,Deepak Chahar,61,61,215.0,1681,59,37.78,8.26,26.33,2,0,5
49,Deepak Hooda,65,20,39.0,339,9,37.07,9.54,24.4,0,0,5
50,Dewald Brevis,7,1,0.3,8,1,8.0,16.0,3.0,0,0,1
51,Dhawal Kulkarni,38,38,123.0,1060,31,45.18,8.91,29.68,1,0,4
52,Dushmantha Chameera,12,12,44.0,384,9,42.66,8.72,29.33,0,0,1
53,Dwaine Pretorius,6,6,21.0,210,6,35.0,10.0,21.0,0,0,1
54,Dwayne Bravo,70,70,238.2,2099,78,27.43,8.65,18.9,1,0,6
55,Dwayne Smith,24,17,31.0,301,10,46.56,9.94,26.25,1,0,2
56,Fabian Allen,5,4,15.0,136,2,68.0,9.84,45.0,0,0,2
57,Fazalhaq Farooqi,3,3,12.0,110,2,55.0,9.16,36.0,0,0,1
58,George Garton,5,5,15.0,135,3,45.0,9.0,30.0,0,0,1
59,Glenn Maxwell,67,41,96.0,726,24,34.62,7.63,26.7,0,0,5
60,Glenn Phillips,3,2,2.0,20,1,20.0,10.0,12.0,0,0,1
61,Gurkeerat Mann Singh,7,3,4.0,31,2,15.5,7.75,12.0,0,0,1
62,Harbhajan Singh,49,48,166.0,1240,40,33.72,7.51,26.8,0,0,4
63,Hardik Pandya,72,62,156.3,1359,49,32.65,8.55,22.93,0,0,5
64,Hardus Viljoen,6,6,23.0,222,7,31.71,9.65,19.71,0,0,1
65,Harpreet Brar,12,12,39.0,285,9,32.15,7.58,25.8,0,0,2
66,Harry Gurney,8,8,27.0,238,7,34.0,8.81,23.14,0,0,1
67,Harshal Patel,48,48,167.3,1437,67,43.46,9.31,26.92,2,1,7
68,Harshit Rana,2,2,5.0,51,1,51.0,10.2,30.0,0,0,1
69,Hrithik Shokeen,5,5,15.0,127,2,63.5,8.46,45.0,0,0,1
70,Imran Tahir,43,43,162.0,1218,58,30.0,7.19,24.73,2,0,6
71,Iqbal Abdulla,10,10,30.0,268,8,31.5,9.76,20.0,0,0,2
72,Ish Sodhi,8,8,30.0,202,9,21.88,7.6,19.18,0,0,2
73,Ishan Porel,1,1,4.0,39,1,39.0,9.75,24.0,0,0,1
74,Ishant Sharma,20,20,73.0,594,17,57.72,8.51,41.08,0,0,3
75,Isuru Udana,10,10,29.0,282,8,35.25,9.72,21.75,0,0,1
76,JP Duminy,10,5,7.0,55,2,27.5,7.85,21.0,0,0,1
77,Jagadeesha Suchith,6,6,22.0,168,9,17.0,7.38,13.71,0,0,2
78,James Faulkner,15,15,43.0,425,8,63.25,9.8,38.66,0,0,2
79,James Pattinson,10,10,35.0,320,11,29.09,9.01,19.36,0,0,1
80,Jason Behrendorff,5,5,19.0,165,5,33.0,8.68,22.8,0,0,1
81,Jason Holder,31,31,114.3,974,46,27.87,8.35,20.18,1,0,4
82,Jasprit Bumrah,103,103,394.2,2823,134,21.77,7.15,18.21,2,1,7
83,Javon Searles,4,3,7.0,89,2,44.5,12.71,21.0,0,0,1
84,Jayant Yadav,14,14,48.0,348,6,55.12,7.07,46.5,0,0,4
85,Jaydev Unadkat,56,56,198.0,1792,59,38.01,9.06,24.8,0,1,6
86,Jhye Richardson,3,3,11.0,117,3,39.0,10.63,22.0,0,0,1
87,Jimmy Neesham,8,8,24.0,214,7,43.6,8.59,27.9,0,0,2
88,Jofra Archer,35,35,137.0,981,46,22.12,7.22,18.56,0,0,3
89,John Hastings,2,2,6.0,37,2,18.5,5.55,20.0,0,0,1
90,Josh Hazlewood,24,24,91.3,734,32,36.49,7.62,31.01,1,0,3
91,KC Cariappa,9,9,32.0,286,7,42.38,8.91,28.25,0,0,2
92,KM Asif,3,3,8.0,93,4,21.5,10.4,12.5,0,0,2
93,Kagiso Rabada,63,63,237.0,1966,99,22.47,8.31,16.13,6,0,5
94,Kamlesh Nagarkoti,10,9,26.0,231,5,46.2,8.88,31.2,0,0,1
95,Kane Richardson,5,5,17.0,165,8,24.21,9.68,15.0,0,0,2
96,Karn Sharma,21,20,61.0,501,23,26.18,9.16,17.05,1,0,4
97,Kartik Tyagi,16,16,60.0,570,14,50.26,9.44,31.48,0,0,3
98,Keemo Paul,8,8,27.0,237,9,26.33,8.72,18.11,0,0,1
99,Khaleel Ahmed,33,33,126.1,1063,48,27.21,8.45,19.33,0,0,4
100,Kieron Pollard,41,26,48.0,410,13,32.58,8.39,22.77,0,0,3
101,Krishnappa Gowtham,28,28,80.0,661,18,74.54,8.71,51.05,0,0,4
102,Krunal Pandya,98,93,278.0,2038,61,37.29,7.32,30.14,0,0,7
103,Kuldeep Sen,7,7,25.1,237,8,29.62,9.41,18.87,1,0,1
104,Kuldeep Yadav,59,57,198.4,1655,61,42.17,8.25,31.05,3,0,6
105,Kulwant Khejroliya,5,5,16.0,154,3,50.25,9.64,31.25,0,0,2
106,Kumar Kartikeya Singh,4,4,13.0,102,5,20.4,7.84,15.6,0,0,1
107,Kyle Abbott,5,5,16.0,177,2,88.5,11.06,48.0,0,0,1
108,Kyle Jamieson,9,9,28.0,269,9,29.88,9.6,18.66,0,0,1
109,Lalit Yadav,19,13,32.0,251,8,31.38,7.77,24.0,0,0,2
110,Lasith Malinga,24,24,90.0,820,27,31.04,9.14,20.63,2,0,2
111,Liam Livingstone,14,12,23.0,202,6,33.66,8.78,23.0,0,0,1
112,Liam Plunkett,7,7,25.0,225,4,56.25,9.0,37.5,0,0,1
113,Lockie Ferguson,35,35,127.4,1075,36,39.99,8.36,26.9,1,0,5
114,Lukman Meriwala,1,1,3.0,32,1,32.0,10.66,18.0,0,0,1
115,Lungi Ngidi,14,14,54.0,448,25,19.24,8.95,13.08,1,0,3
116,Maheesh Theekshana,9,9,35.0,261,12,21.75,7.45,17.5,1,0,1
117,Mahipal Lomror,4,4,7.0,47,1,47.0,6.71,42.0,0,0,1
118,Marco Jansen,10,10,38.0,319,9,30.82,8.03,22.71,0,0,2
119,Marcus Stoinis,67,50,107.0,1048,34,41.68,9.97,25.49,1,0,7
120,Matheesha Pathirana,2,2,6.5,52,2,26.0,7.6,20.5,0,0,1
121,Matt Henry,2,2,5.0,71,1,71.0,14.2,30.0,0,0,1
122,Mayank Markande,19,19,57.0,484,17,46.84,8.78,31.87,1,0,3
123,Mitchell Johnson,14,14,52.0,463,11,60.38,8.99,37.71,0,0,3
124,Mitchell Marsh,11,7,21.0,147,8,18.38,6.75,15.75,0,0,2
125,Mitchell McClenaghan,44,44,165.0,1417,53,30.84,8.43,22.25,1,0,4
126,Mitchell Santner,12,12,40.0,277,10,27.5,7.04,23.5,0,0,3
127,Moeen Ali,44,37,91.5,627,24,29.81,7.1,24.91,0,0,5
128,Mohammad Nabi,16,16,53.0,385,13,35.81,8.02,27.22,1,0,4
129,Mohammad Shami,78,78,285.0,2443,91,34.04,8.88,22.45,0,0,7
130,Mohammed Siraj,65,65,222.0,1951,59,33.94,8.87,22.91,1,0,6
131,Mohit Sharma,39,39,129.0,1211,35,36.17,9.69,22.17,0,0,5
132,Mohsin Khan,9,9,33.0,197,14,14.07,5.96,14.14,1,0,1
133,Moises Henriques,34,34,86.0,708,17,97.94,7.6,61.67,0,0,3
134,Morne Morkel,10,10,35.0,297,10,29.7,8.36,21.3,0,0,1
135,Mujeeb Ur Rahman,17,17,64.0,509,19,32.93,8.1,22.57,0,0,3
136,Mukesh Choudhary,13,13,45.3,424,16,26.5,9.31,17.06,1,0,1
137,Munaf Patel,2,2,7.0,57,1,57.0,8.14,42.0,0,0,1
138,Murugan Ashwin,42,42,140.0,1109,35,41.48,7.94,30.58,0,0,6
139,Mustafizur Rahman,45,45,172.0,1331,46,29.81,7.82,22.82,0,0,4
140,Nathan Coulter-Nile,24,24,89.0,675,30,28.14,7.48,22.42,1,0,4
141,Nathan Ellis,5,5,18.0,153,4,58.16,8.66,42.0,0,0,2
142,Nathu Singh,2,2,4.0,15,1,15.0,3.75,24.0,0,0,1
143,Navdeep Saini,28,28,99.0,848,20,41.08,9.52,27.95,0,0,3
144,Nitish Rana,29,11,14.0,116,7,17.5,8.06,12.62,0,0,2
145,Obed McCoy,7,7,25.5,237,11,21.54,9.17,14.09,0,0,1
146,Odean Smith,6,6,15.0,178,6,29.66,11.86,15.0,1,0,1
147,Oshane Thomas,4,4,10.0,79,5,15.8,7.9,12.0,0,0,1
148,Parveez Rasool,4,4,14.0,129,1,129.0,9.21,84.0,0,0,1
149,Pat Cummins,38,38,144.5,1231,43,28.89,8.86,19.84,1,0,4
150,Pawan Negi,29,23,56.0,432,21,44.83,9.21,28.1,0,0,4
151,Piyush Chawla,54,53,173.0,1492,48,32.3,8.77,22.0,0,0,6
152,Pradeep Sahu,5,5,17.0,146,3,48.66,8.34,35.0,0,0,1
153,Pradeep Sangwan,8,8,27.0,246,8,28.93,8.64,19.8,0,0,2
154,Prashant Solanki,2,2,6.0,38,2,19.0,6.33,18.0,0,0,1
155,Prasidh Krishna,51,51,189.3,1703,49,43.9,9.08,28.76,1,0,5
156,Praveen Kumar,22,22,67.0,552,15,34.85,8.46,25.42,0,0,2
157,Pravin Tambe,7,7,16.0,143,5,28.6,8.93,19.2,0,0,1
158,Prithvi Raj Yarra,2,2,5.0,57,1,57.0,11.4,30.0,0,0,1
159,RP Singh,4,4,12.0,111,3,37.0,9.25,24.0,0,0,1
160,Rahul Chahar,55,54,196.4,1477,57,26.34,7.62,20.75,1,0,5
161,Rahul Tewatia,44,41,120.0,930,29,28.25,7.24,22.87,0,0,5
162,Rajagopal Sathish,4,3,6.0,59,1,59.0,9.83,36.0,0,0,1
163,Rajat Bhatia,13,13,41.0,299,8,34.08,7.51,27.5,0,0,2
164,Ramandeep Singh,5,3,6.0,54,6,9.0,9.0,6.0,0,0,1
165,Rashid Khan,92,92,365.5,2333,112,20.87,6.38,19.61,1,0,6
166,Ravi Bishnoi,37,37,140.0,1054,37,28.3,7.38,22.64,0,0,3
167,Ravichandran Ashwin,87,87,311.0,2354,67,36.47,7.53,29.02,1,0,6
168,Ravindra Jadeja,99,95,291.0,2218,63,41.18,7.71,31.17,0,0,7
169,Riley Meredith,13,13,45.0,405,12,35.88,9.18,23.25,0,0,2
170,Rishi Dhawan,8,8,26.0,212,8,27.0,8.1,20.0,0,0,2
171,Riyan Parag,35,17,24.0,253,4,64.17,11.74,34.33,0,0,3
172,Romario Shepherd,3,3,9.0,98,3,32.66,10.88,18.0,0,0,1
173,Sachin Baby,11,2,1.0,8,2,4.0,4.8,5.0,0,0,1
174,Sai Kishore,5,5,16.0,121,6,20.16,7.56,16.0,0,0,1
175,Sam Curran,32,31,108.0,995,32,31.73,9.3,20.39,1,0,3
176,Samuel Badree,7,7,25.0,188,9,20.88,7.52,16.66,1,0,1
177,Sandeep Lamichhane,9,9,35.0,292,13,21.32,7.98,15.82,0,0,2
178,Sandeep Sharma,75,75,279.0,2179,75,39.39,7.84,29.94,1,0,7
179,Sandeep Warrier,3,3,12.0,85,2,42.5,7.08,36.0,0,0,1
180,Scott Boland,2,2,7.0,54,2,27.0,7.71,21.0,0,0,1
181,Scott Kuggeleijn,2,2,8.0,71,2,35.5,8.87,24.0,0,0,1
182,Sean Abbott,1,1,4.0,47,1,47.0,11.75,24.0,0,0,1
183,Shadab Jakati,6,6,20.0,178,2,89.0,8.9,60.0,0,0,1
184,Shahbaz Ahmed,29,22,55.0,472,13,39.71,7.83,27.5,0,0,3
185,Shahbaz Nadeem,28,28,83.0,711,19,42.26,8.83,28.37,0,0,6
186,Shakib Al Hasan,38,37,125.0,981,25,43.86,7.94,33.28,0,0,4
187,Shane Watson,39,35,111.0,981,31,38.36,8.89,25.72,1,0,3
188,Shardul Thakur,74,73,254.2,2302,81,29.13,8.99,19.44,1,0,6
189,Sheldon Cottrell,6,6,20.0,176,6,29.33,8.8,20.0,0,0,1
190,Sherfane Rutherford,7,6,7.0,59,1,59.0,8.63,41.0,0,0,1
191,Shivam Dube,11,5,9.0,73,4,18.25,8.11,13.5,0,0,1
192,Shivam Mavi,32,32,108.0,942,30,36.03,8.84,23.72,1,0,4
193,Shivil Kaushik,7,7,23.0,192,6,32.0,8.34,23.0,0,0,1
194,Shreyas Gopal,40,39,132.0,1044,42,28.88,8.68,19.82,1,0,4
195,Shubham Agarwal,1,1,4.0,42,1,42.0,10.5,24.0,0,0,1
196,Siddarth Kaul,43,43,162.0,1400,52,30.48,9.98,19.39,1,0,5
197,Simarjeet Singh,6,6,18.0,138,4,34.5,7.66,27.0,0,0,1
198,Sreenath Aravind,19,19,59.0,491,16,37.32,8.2,26.25,0,0,2
199,Stuart Binny,30,20,30.0,228,6,63.5,7.5,51.0,0,0,3
200,Sunil Narine,93,92,357.0,2505,78,35.52,7.07,30.12,1,0,7
201,Suresh Raina,14,6,12.0,102,1,102.0,8.5,72.0,0,0,1
202,Swapnil Singh,4,4,7.0,61,1,61.0,8.71,42.0,0,0,1
203,T Natarajan,35,35,126.0,1094,38,36.51,8.79,24.97,0,0,4
204,Tabraiz Shamsi,4,4,16.0,147,3,49.0,9.18,32.0,0,0,1
205,Thisara Perera,12,11,33.0,326,9,36.22,9.82,22.11,0,0,1
206,Tim Southee,37,37,138.0,1174,35,48.34,9.19,29.41,0,0,6
207,Tom Curran,13,13,39.0,430,13,38.33,10.74,21.16,0,0,3
208,Travis Head,7,5,8.0,81,2,40.5,10.12,24.0,0,0,1
209,Trent Boult,71,71,269.0,2239,83,31.56,8.57,21.95,1,0,7
210,Tushar Deshpande,7,7,24.0,255,4,63.5,10.14,38.0,0,0,2
211,Tymal Mills,10,10,35.0,343,11,31.13,9.87,19.2,0,0,2
212,Umesh Yadav,60,60,213.0,1772,71,27.19,8.43,19.01,2,0,5
213,Umran Malik,17,17,61.1,540,24,34.09,8.52,24.7,1,1,2
214,Vaibhav Arora,5,5,17.5,164,3,54.66,9.19,35.66,0,0,1
215,Varun Aaron,21,21,60.0,558,15,47.94,9.45,30.28,0,0,4
216,Varun Chakaravarthy,42,42,162.0,1171,42,34.04,8.4,24.5,0,1,4
217,Venkatesh Iyer,10,4,8.0,69,3,23.0,8.11,17.0,0,0,1
218,Vijay Shankar,42,19,37.0,310,9,45.46,8.91,29.94,0,0,4
219,Vinay Kumar,6,6,16.0,160,7,23.11,11.46,12.83,0,0,3
220,Wanindu Hasaranga,16,16,57.0,430,26,16.53,7.54,13.15,1,1,1
221,Washington Sundar,51,49,153.0,1106,33,34.34,7.64,27.25,0,0,6
222,Yash Dayal,9,9,32.0,296,11,26.9,9.25,17.45,0,0,1
223,Yusuf Pathan,45,9,12.0,88,3,29.33,7.58,24.0,0,0,3
224,Yuvraj Singh,12,2,2.0,22,1,22.0,11.0,12.0,0,0,1
225,Yuzvendra Chahal,101,101,369.0,2789,131,22.02,7.54,17.6,3,1,7
226,Zaheer Khan,23,23,83.0,650,20,32.5,7.75,25.15,0,0,2
